B_DATETIME,B_Q_ID,B_V_ID,B_VOL
2000-01-01 01:13:36,22,50,50
2001-01-01 01:13:37,22,50,50
2002-01-01 01:13:38,22,51,50
2002-06-01 01:13:39,22,51,50
2003-01-01 01:12:01,1,1,155
2003-01-01 01:12:03,2,2,255
2003-01-01 01:12:04,3,3,255
2003-01-01 01:12:05,1,4,255
2003-01-01 01:12:06,2,5,255
2003-01-01 01:12:07,3,6,255
2003-01-01 01:12:08,1,7,255
2003-01-01 01:12:09,2,8,255
2003-01-01 01:12:10,3,9,255
2003-01-01 01:12:11,4,10,50
2003-01-01 01:12:12,5,11,100
2003-01-01 01:12:13,5,12,155
2003-01-01 01:12:14,5,13,155
2003-01-01 01:12:15,5,14,100
2003-01-01 01:12:16,5,15,50
2003-01-01 01:12:17,5,16,205
2003-01-01 01:12:18,6,10,155
2003-01-01 01:12:19,6,17,100
2003-01-01 01:12:20,6,18,255
2003-01-01 01:12:21,6,19,255
2003-01-01 01:12:22,7,17,155
2003-01-01 01:12:23,7,20,100
2003-01-01 01:12:24,7,21,255
2003-01-01 01:12:25,7,22,255
2003-01-01 01:12:26,8,10,50
2003-01-01 01:12:27,9,23,255
2003-01-01 01:12:28,9,24,255
2003-01-01 01:12:29,9,25,100
2003-01-01 01:12:30,9,26,155
2003-01-01 01:12:31,10,25,155
2003-01-01 01:12:31,10,26,100
2003-01-01 01:12:33,10,27,10
2003-01-01 01:12:34,10,28,10
2003-01-01 01:12:35,10,29,245
2003-01-01 01:12:36,10,30,245
2003-01-01 01:12:37,11,31,100
2003-01-01 01:12:38,11,32,100
2003-01-01 01:12:39,11,33,100
2003-01-01 01:12:40,11,34,155
2003-01-01 01:12:41,11,35,155
2003-01-01 01:12:42,11,36,155
2003-01-01 01:12:43,12,31,155
2003-01-01 01:12:44,12,32,155
2003-01-01 01:12:45,12,33,155
2003-01-01 01:12:46,2,34,100
2003-01-01 01:12:47,12,35,100
2003-01-01 01:12:48,12,36,100
2003-01-01 01:13:01,4,37,20
2003-01-01 01:13:02,8,38,20
2003-01-01 01:13:03,13,39,123
2003-01-01 01:13:04,4,39,111
2003-01-01 01:13:05,14,40,50
2003-01-01 01:13:05,4,37,185
2003-01-01 01:13:06,15,41,50
2003-01-01 01:13:07,15,41,50
2003-01-01 01:13:08,15,42,50
2003-01-01 01:13:09,15,42,50
2003-01-01 01:13:10,16,42,50
2003-01-01 01:13:11,16,42,50
2003-01-01 01:13:12,16,43,50
2003-01-01 01:13:13,16,43,50
2003-01-01 01:13:14,16,47,50
2003-01-01 01:13:15,17,44,10
2003-01-01 01:13:16,17,44,10
2003-01-01 01:13:17,17,45,10
2003-01-01 01:13:18,17,45,10
2003-01-01 01:13:24,19,44,10
2003-01-01 01:13:25,19,45,10
2003-01-01 01:13:26,19,45,10
2003-02-01 01:13:19,18,45,10
2003-02-01 01:13:27,20,45,10
2003-02-01 01:13:31,21,49,50
2003-02-02 01:13:32,21,49,50
2003-02-03 01:13:33,21,50,50
2003-02-04 01:13:34,21,50,50
2003-02-05 01:13:35,21,48,1
2003-03-01 01:13:20,18,45,10
2003-03-01 01:13:28,20,45,10
2003-04-01 01:13:21,18,46,10
2003-04-01 01:13:29,20,46,10
2003-05-01 01:13:22,18,46,10
2003-05-01 01:13:30,20,46,10
2003-06-11 01:13:23,19,44,10
2003-06-23 01:12:02,1,1,100